sample_ID	Actinomyces	Actinotignum	Aerococcus	Agrobacterium	Agrococcus	Alkanindiges	Anaerococcus	Arcanobacterium	Arenibacter	Asinibacterium	Aspergillus	Atopobium	Aureimonas	Auricoccucs	Bacteroides	Bifidobacterium	Blastomonas	Bordetella	Brachybacterium	Buchnera	Campylobacter	Capnocytophaga	Chlamydia	Cloacibacterium	Clostridioides	Clostridium	Cutibacterium	Dermabacter	Desulfitobacterium	Dialister	Endocarpon	Ensifer	Enterococcus	Erwinia	Eutypa	Exiguobacterium	Ezakiella	Faecalibacterium	Finegoldia	Friedmanniella	Frigoribacterium	Fusobacterium	Gardnerella	Gemella	Gordonia	Haemophilus	Hafnia	Hammondia	Homo	Hymenobacter	Hyphomicrobium	Jonquetella	Klebsiella	Lactobacillus	Lactococcus	Lawsonella	Leptotrichia	Lysinibacillus	Malassezia	Marmoricola	Microcystis	Mobiluncus	Moraxella	Mycobacterium	Mycoplasma	Nakamurella	Neisseria	Nevskia	Nocardioides	Nostoc	Oscillatoria	Pantoea	Parvimonas	Penicillium	Peptoniphilus	Peptostreptococcus	Phaeodactylum	Planococcus	Plantibacter	Porphyromonas	Prevotella	Propionimicrobium	Providencia	Rathayibacter	Rhodoluna	Rothia	Rudaea	Sanguibacter	Sediminibacterium	Shewanella	Solimonas	Sphingobacterium	Spirosoma	Staphylococcus	Synechocystis	Tessaracoccus	Thalassiosira	Treponema	Truepera	Varibaculum	Veillonella	Yersinia
P33_6	0	0	0	133	0	0	0	0	0	2796	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	212	0	0	0	0	0	0	0	110	0	0	0	0	0	0	691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0	0	0	0	0	0	0	0
P45_2	277	0	0	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	356	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	0	174	0	0	0	0	0	0	0	0
P48_4	0	0	178	447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	210	167	0	0	0	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169	0	0	0	0	146	166	0	0	0	0	0	0	225	0	0	0	0	0	0	0	0
P62_1	0	0	0	499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	326	0	0	0	0	0	0	0	0	0	0	0	0	0	313	267	0	0	0	0	114	0	0	0	0	0	0	0	0	108	0	0	0	0	0	0	215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0	0	0	0	0	0	0	0
P75_2	119	617	0	170	0	0	455	0	0	0	0	0	0	0	0	0	0	0	0	0	11321	0	0	0	0	0	0	0	0	1062	0	0	0	0	0	0	0	0	147	0	0	0	0	0	0	0	0	119	0	298	0	0	0	0	0	0	0	0	121	0	0	2112	0	153	20741	0	0	0	115	0	0	0	0	0	5710	0	0	0	0	76946	6608	369	0	0	0	0	0	0	0	0	0	0	0	149	0	133	0	266	0	867	0	0
P82_7	0	0	0	258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	0	0	0	0	0	0	0	0	0	346	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	0	0	395	0	0	0	0	0	0	0	0
P86_3	163	0	0	127	109	2977	0	0	0	521	0	0	0	0	0	0	160	0	0	133	0	0	0	0	0	0	227	0	0	0	542	0	0	0	0	130	0	0	0	125	0	267	0	101	0	0	0	0	0	392	236	0	3171	1239	0	0	0	0	112	145	0	0	3253	219	0	0	161	668	610	0	156	0	0	0	0	0	0	0	0	0	138	0	0	118	0	0	0	0	509	0	0	0	108	272	761	0	0	0	101	0	124	0
P88_7	340	397	0	254	0	0	276	0	0	317	0	0	0	0	0	0	0	0	0	0	9845	0	0	0	0	0	143	0	0	0	125	0	0	0	0	0	0	0	0	0	0	2553	120	0	119	0	104	0	157	0	0	601	0	0	0	125	0	0	4494	0	0	8635	0	137	0	0	0	137	0	0	0	0	0	0	289	0	0	0	0	10632	2856	2100	0	0	0	0	0	0	179	0	0	0	0	2565	0	0	0	0	0	999	0	0
P97_7	0	0	0	145	0	0	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	131	0	0	0	0	0	0	0	0	0	0	0	338	0	0	0	0	0	0	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	139	0	0	0	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0	502	0	0	0	0	0	0	0	0
P98_1	0	0	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218	0	0	0	0	0	0	0	0
P99_2	0	0	0	252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0
P99_4	738	0	0	468	0	0	531	126	0	0	0	956	0	0	0	0	0	0	0	0	8475	0	0	0	177	0	102	0	0	2815	0	0	0	0	0	0	158	0	120	0	0	2119	587	0	0	0	247	0	270	227	0	0	0	0	0	0	0	0	0	0	0	0	130	180	0	0	0	0	0	0	0	0	3676	0	1420	119	0	0	0	30872	4337	0	0	0	0	0	0	0	0	0	0	0	0	269	0	0	0	105	0	678	0	0
